Price,Close,High,Low,Open,Volume,Returns,MA_5
Ticker,UBER,UBER,UBER,UBER,UBER,,
Date,,,,,,,
2026-02-17,70.52999877929688,70.9800033569336,69.69999694824219,70.66000366210938,20286100,,
2026-02-18,72.7699966430664,73.2699966430664,70.11499786376953,70.26000213623047,18235600,3.1265602315744205,
2026-02-19,72.94000244140625,74.1050033569336,71.76000213623047,71.87000274658203,15897800,0.23334826237067902,
2026-02-20,73.86000061035156,74.58499908447266,72.55999755859375,72.6500015258789,20242200,1.2534198836079573,
2026-02-23,70.72000122070312,73.11000061035156,70.1500015258789,72.98999786376953,22921600,-4.34429820975836,72.16399993896485
2026-02-24,71.37999725341797,72.13999938964844,69.94999694824219,70.62000274658203,19581100,0.9289243993238392,72.33399963378906
2026-02-25,72.83000183105469,73.16000366210938,71.91999816894531,72.31999969482422,19820800,2.0110303787613164,72.34600067138672
2026-02-26,74.80000305175781,76.0999984741211,72.83000183105469,73.1500015258789,22449200,2.6689942408018794,72.71800079345704
2026-02-27,75.41999816894531,75.77999877929688,73.65799713134766,73.9000015258789,20427900,0.8254541772773627,73.03000030517578
2026-03-02,75.94999694824219,76.49500274658203,73.1500015258789,73.5,25779100,0.7002721308532401,74.0759994506836
2026-03-03,76.36000061035156,77.30500030517578,74.0199966430664,74.5,21892500,0.5383817989988559,75.0720001220703
2026-03-04,76.6500015258789,77.04000091552734,75.01300048828125,76.29499816894531,19818600,0.3790618374292387,75.83600006103515
2026-03-05,75.44000244140625,78.25,75.13500213623047,76.58999633789062,17894000,-1.5911954537492439,75.96399993896485
2026-03-06,75.12999725341797,75.56999969482422,74.19000244140625,74.7300033569336,14771200,-0.41177608640849606,75.90599975585937
2026-03-09,73.83999633789062,74.54000091552734,71.94000244140625,74.12000274658203,21208900,-1.7319369223943453,75.48399963378907
2026-03-10,72.36000061035156,74.12000274658203,72.18000030517578,73.97000122070312,17581500,-2.024687163737342,74.68399963378906
2026-03-11,74.97000122070312,75.5999984741211,73.55000305175781,74.54000091552734,21010800,3.5434380835500434,74.3479995727539
2026-03-12,72.97000122070312,75.8499984741211,72.58999633789062,74.87000274658203,17082700,-2.703963529116115,73.85399932861328
2026-03-13,73.33000183105469,74.81999969482422,72.69000244140625,73.29499816894531,16374117,0.49214125694063365,73.49400024414062
